2026-09-25T22:42:29.594Z +0.000s INFO  [app] session=292bafc9 start kabl-ui 0.1.0 (commit 99c28d30a08d) level=DEBUG log=target/signal-inspection-r1/user/logs/kabl.log
2026-09-25T22:42:29.598Z +0.004s INFO  [library] session=292bafc9 factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-r1/user/sounds
2026-09-25T22:42:29.601Z +0.007s INFO  [midi] session=292bafc9 listening for MIDI on "kabl-pipe" (test pipe)
2026-09-25T22:42:29.601Z +0.007s INFO  [audio] session=292bafc9 backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:42:42.550Z +12.956s DEBUG [graph] session=292bafc9 compiled generation=41 fresh=false modules=6 took_us=44
2026-09-25T22:42:42.566Z +12.972s DEBUG [graph] session=292bafc9 compiled generation=42 fresh=false modules=6 took_us=44
2026-09-25T22:42:42.584Z +12.989s DEBUG [graph] session=292bafc9 compiled generation=43 fresh=false modules=6 took_us=82
2026-09-25T22:42:42.602Z +13.008s DEBUG [graph] session=292bafc9 compiled generation=44 fresh=false modules=6 took_us=48
2026-09-25T22:42:42.621Z +13.026s DEBUG [graph] session=292bafc9 compiled generation=45 fresh=false modules=6 took_us=52
2026-09-25T22:42:42.637Z +13.043s DEBUG [graph] session=292bafc9 compiled generation=46 fresh=false modules=6 took_us=50
2026-09-25T22:42:42.657Z +13.063s DEBUG [graph] session=292bafc9 compiled generation=47 fresh=false modules=6 took_us=48
2026-09-25T22:42:42.679Z +13.085s DEBUG [graph] session=292bafc9 compiled generation=48 fresh=false modules=6 took_us=102
2026-09-25T22:42:42.701Z +13.107s DEBUG [graph] session=292bafc9 compiled generation=49 fresh=false modules=6 took_us=50
2026-09-25T22:42:42.720Z +13.126s DEBUG [graph] session=292bafc9 compiled generation=50 fresh=false modules=6 took_us=47
2026-09-25T22:42:42.740Z +13.146s DEBUG [graph] session=292bafc9 compiled generation=51 fresh=false modules=6 took_us=63
2026-09-25T22:42:42.764Z +13.170s DEBUG [graph] session=292bafc9 compiled generation=52 fresh=false modules=6 took_us=47
2026-09-25T22:42:42.784Z +13.190s DEBUG [graph] session=292bafc9 compiled generation=53 fresh=false modules=6 took_us=50
2026-09-25T22:42:42.809Z +13.214s DEBUG [graph] session=292bafc9 compiled generation=54 fresh=false modules=6 took_us=80
2026-09-25T22:42:42.828Z +13.234s DEBUG [graph] session=292bafc9 compiled generation=55 fresh=false modules=6 took_us=43
2026-09-25T22:42:42.848Z +13.254s DEBUG [graph] session=292bafc9 compiled generation=56 fresh=false modules=6 took_us=43
2026-09-25T22:42:42.865Z +13.271s DEBUG [graph] session=292bafc9 compiled generation=57 fresh=false modules=6 took_us=45
2026-09-25T22:42:42.882Z +13.288s DEBUG [graph] session=292bafc9 compiled generation=58 fresh=false modules=6 took_us=49
