2026-09-25T22:52:56.599Z +0.000s INFO  [app] session=5544a91c start kabl-ui 0.1.0 (commit 99c28d30a08d) level=INFO log=target/signal-inspection-perf/busy-1/user/logs/kabl.log
2026-09-25T22:52:56.600Z +0.000s INFO  [library] session=5544a91c factory sounds: /home/user/kabl/patches; your sounds: target/signal-inspection-perf/busy-1/user/sounds
2026-09-25T22:52:56.601Z +0.002s INFO  [midi] session=5544a91c no MIDI input matched None
2026-09-25T22:52:56.601Z +0.002s INFO  [audio] session=5544a91c backend=Alsa requested rate=Some(48000) frames=Some(256) rt=true
2026-09-25T22:52:56.612Z +0.013s INFO  [audio] session=5544a91c device=Some("Default Audio Device") rate=48000 channels=2 buffer=Fixed(256)
2026-09-25T22:52:56.614Z +0.015s WARN  [winit::platform_impl::linux::x11::xdisplay] session=5544a91c error setting XSETTINGS; Xft options won't reload automatically
2026-09-25T22:52:56.630Z +0.031s WARN  [winit::platform_impl::linux::x11::util::randr] session=5544a91c XRandR reported that the display's 0mm in size, which is certifiably insane
2026-09-25T22:52:56.684Z +0.084s WARN  [audio] session=5544a91c real-time priority refused: AudioThreadPriorityError: org.freedesktop.DBus.Error.FileNotFound:Failed to connect to socket /run/dbus/system_bus_socket: No such file or directory
2026-09-25T22:53:06.688Z +10.089s INFO  [audio.health] session=5544a91c last 10.0s: xruns=1 late_executions=0 late_arrivals=76 callbacks=1889 worst_run_us=5127
2026-09-25T22:53:21.044Z +24.445s WARN  [audio] session=5544a91c stalled: no callbacks for over 1.5 s after 4277
